CIK,Company,Type,Date,Period of Report,SIC,State of Inc,State,Fiscal Year End,Basename,gvkey,sich,insbnk,understatement,option,Misstatement_BAO,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf,Misstatement_AA,Misstatement,restatement_year
1017921,THERMO FIBERGEN INC,10-K,2001-03-27,2000-12-30,3550.0,DE,DE,102.0,1017921_2000,63883,2670.0,0.0,0.0,0.0,0,18.744,0.753,38.465,5.836,13.165,3.966,9.498,0.0,0.0,0.0,2.226,0.423,1.071,0.0,8.05,28.138,30.473,0.423,13.341,0.0,-0.307,4.307,7.794,0.501,0.245,-0.175,0.0,11.375,0.595457292,-0.104199165,-0.041856397,0.004580579,0.399740023,1.941261995,-11.34136596,-0.006861033,1.0,0.054017156,0.670858756,-0.007981282,0.00644742,0.093072325,0,0,
1018848,KEEBLER FOODS CO,10-K,2001-03-12,2000-12-30,2052.0,DE,DE,1230.0,1018848_2000,66265,2052.0,0.0,0.0,0.0,0,328.819,145.125,1772.888,562.674,34.172,1023.837,85.057,55.058,165.0,527.587,95.28,175.592,164.811,0.0,0.0,431.483,1210.214,175.592,898.913,0.0,393.362,62.933,2756.95,6.426,0.0,108.768,48.842,41.4375,-2.484e-05,0.070462586,-0.001283826,-0.006948654,0.625627789,0.005566376,0.020179581,0.050979073,1.0,0.159644235,1.004413435,0.221876396,0.187943062,-0.017517951,0,0,
1023052,LINENS N THINGS INC,10-K,2001-03-29,2000-12-30,5700.0,DE,DE,101.0,1023052_2000,64048,5700.0,0.0,0.0,0.0,0,532.65,183.473,821.557,458.994,38.524,896.883,40.059,3.903,0.0,0.0,32.422,64.937,437.258,0.0,0.0,305.956,362.563,64.937,382.183,0.0,230.475,31.508,1572.576,6.322,22.403,40.214,2.139,27.625,0.082677477,0.11706371,0.014215374,0.125978955,0.633704052,0.199057277,0.004130029,0.002594312,1.0,0.414767404,0.963731591,0.2805344,0.130593495,-0.099900564,0,0,
1024795,SUN HYDRAULICS CORP,10-K,2001-03-12,2000-12-30,3490.0,FL,FL,1231.0,1024795_2000,64254,3490.0,0.0,0.0,0.0,0,18.379,1.787,64.374,43.836,2.698,52.964,6.385,1.779,2.999,10.233,5.538,3.921,9.033,0.0,0.0,5.721,20.538,3.921,74.46,0.0,19.344,6.112,79.967,0.0,0.315,1.998,1.114,6.625,0.016317887,0.021783134,-0.002304434,0.014044594,0.259297232,0.165580353,0.195778695,0.031777723,1.0,1.036296745,0.884089914,0.300493988,0.109252183,0.010759218,0,0,
1026221,GENERAL BEARING CORP,10-K,2001-05-02,2000-12-30,3562.0,DE,DE,1231.0,1026221_2000,64364,3562.0,0.0,0.0,0.0,0,38.778,4.642,55.264,24.785,0.497,39.684,4.113,0.521,4.315,16.454,1.233,1.879,29.56,0.0,0.0,10.532,27.261,1.879,17.63,0.0,-15.229,6.478,59.393,0.005,0.0,1.311,1.335,5.125,0.054393991,0.19508467,0.005961284,0.232861307,0.834612044,0.149702462,0.253894023,-0.058542257,1.0,1.175807819,1.223910279,-0.275568182,0.081879705,-0.226528807,0,0,
1030485,NEOMAGIC CORP,10-K,2000-03-10,2000-01-31,3674.0,DE,DE,126.0,1030485_2000,64485,3674.0,0.0,0.0,0.0,0,113.061,3.675,123.765,115.47,107.769,47.126,25.891,0.0,0.0,0.0,4.9,-8.415,0.0,0.0,34.917,8.295,8.295,-8.415,13.674,0.0,42.672,0.333,75.806,0.795,0.0,-5.481,0.263,3.9375,-0.07904698,-0.342299955,-0.136723574,-0.096621119,0.082624328,-0.636785198,0.612498225,-0.148243575,1.0,1.132660549,0.742730581,0.344782451,-0.110152305,0.187518551,0,0,
1037067,KASPER A S L LTD,10-K,2001-03-30,2000-12-30,2330.0,DE,DE,1231.0,1037067_2000,65126,2330.0,0.0,0.0,0.0,0,149.7,34.609,337.117,93.601,3.847,295.139,6.8,180.258,16.814,0.0,11.345,-25.188,110.572,0.0,0.0,239.68,243.032,-25.188,34.704,0.0,-26.399,26.263,415.705,0.0,1.653,1.528,25.576,0.125,-0.006414928,-0.069805453,-0.00783347,0.046496982,0.925459114,0.298766176,0.232372673,-0.059602973,1.0,4.937456507,0.917389817,-0.078308124,0.005683487,0.008583228,0,0,
1037646,METTLER TOLEDO INTERNATIONAL INC/,10-K,2000-03-24,2000-03-24,3826.0,DE,DE,1231.0,1037646_2000,65772,3590.0,0.0,0.0,0.0,0,423.339,80.513,887.582,178.84,21.725,590.059,39.373,50.56,29.239,237.807,21.69,70.119,141.677,0.0,0.0,349.153,708.742,70.119,284.976,0.0,-116.111,212.57,1095.547,6.473,68.537,38.51,20.034,54.375,0.048367188,0.096042562,0.010324514,0.020808227,0.750881609,0.044680692,0.071633711,0.023470663,1.0,0.083534694,1.131490392,-0.130817209,0.144959001,-0.070268736,0,0,
1046131,MIDAS INC,10-K,2001-03-29,2000-12-31,5013.0,DE,DE,1226.0,1046131_2000,66438,7500.0,0.0,0.0,0.0,0,148.6,31.3,321.7,128.4,1.8,179.4,15.0,19.8,0.0,93.2,10.6,30.5,76.9,0.0,0.0,80.0,193.3,30.5,250.6,0.0,167.3,52.6,346.2,2.0,0.0,10.6,8.1,11.9375,0.037284895,0.074888464,0.020395156,0.042702358,0.528442648,-0.030251142,0.068520277,-0.024477338,1.0,0.717068063,1.043550021,0.520049736,0.152937519,-0.100063735,0,0,
104889,WASHINGTON POST CO,10-K,2001-03-23,2000-12-31,2711.0,DE,DE,103.0,104889_2000,11300,2711.0,0.0,0.0,0.0,0,405.067,163.197,3200.743,1481.007,31.293,1308.063,9.461,50.0,0.0,873.267,180.582,136.47,15.178,210.189,10.948,408.797,1706.588,136.47,1663.842,13.148,2861.05,318.386,2412.15,7.056,0.0,93.4,54.731,616.875,-0.00439712,0.05441484,-0.000153531,0.000416311,0.700583896,0.112516768,0.00515132,-0.034882507,1.0,0.253759844,0.981189591,0.78457252,0.088917167,-0.083283463,0,0,
