CIK,Company,Type,Date,Period of Report,SIC,State of Inc,State,Fiscal Year End,Basename,gvkey,sich,insbnk,understatement,option,Misstatement_BAO,act,ap,at,ceq,che,cogs,csho,dlc,dltis,dltt,dp,ib,invt,ivao,ivst,lct,lt,ni,ppegt,pstk,re,rect,sale,sstk,txp,txt,xint,prcc_f,dch_wc,ch_rsst,dch_rec,dch_inv,soft_assets,ch_cs,ch_cm,ch_roa,issue,bm,dpi,reoa,EBIT,ch_fcf,Misstatement_AA,Misstatement,restatement_year
1000180,SANDISK CORP,10-K,2010-02-25,2010-01-03,3572.0,DE,DE,1228.0,1000180_2010,61513,3572.0,0.0,0.0,0.0,0,4032.692,415.003,8776.71,5782.624,2847.714,2395.119,236.502,0.0,982.5,1711.032,153.518,1300.142,509.585,2494.972,2018.565,960.107,2997.315,1300.142,931.065,0.0,1072.881,541.205,4826.807,152.843,9.751,157.291,88.1,49.86,0.004780481,0.29122879,0.030744269,-0.011761467,0.645147783,0.226167392,-0.148292564,0.106318987,1.0,0.490385774,0.998385033,0.12224182,0.176094801,-0.171482368,0,0,
1018003,INGRAM MICRO INC,10-K,2010-03-02,2010-01-02,5045.0,DE,DE,101.0,1018003_2010,63919,5045.0,0.0,0.0,0.0,0,8590.088,4593.694,9084.032,3241.182,1199.952,32644.256,158.745,105.274,297.152,531.127,61.549,318.06,2914.525,0.0,44.401,5235.186,5842.85,318.06,821.919,0.0,2368.768,4138.629,34588.984,38.439,0.0,120.001,39.259,19.09,0.02132537,-0.001766282,0.022635889,0.048035779,0.840671301,0.196230075,4.386562739,0.010360307,1.0,1.069540993,1.185966799,0.260761741,0.052544949,0.015196095,0,0,
1018005,COLDWATER CREEK INC,10-K,2010-03-31,2010-01-30,5621.0,DE,DE,202.0,1018005_2010,64304,5621.0,0.0,0.0,0.0,0,244.292,76.354,506.723,193.009,51.613,610.487,92.503,0.0,0.0,12.241,63.329,-44.111,156.481,0.0,0.0,162.446,313.714,-44.111,602.553,0.0,66.289,11.05,981.101,0.928,4.815,-0.098,1.822,2.91,0.027175518,-0.019626763,-0.012842973,-0.009291481,0.386327441,-0.06021784,-0.024030628,0.011696248,1.0,0.717015846,0.905061267,0.130819008,-0.083649252,0.041678667,0,0,
1018840,ABERCROMBIE & FITCH CO /DE/,10-K,2010-03-29,2010-01-30,5651.0,DE,DE,131.0,1018840_2010,63643,5651.0,0.0,0.0,0.0,0,1433.268,137.235,2947.902,1890.784,826.353,1027.443,87.246,0.0,0.0,68.566,229.153,150.283,385.857,100.534,0.0,558.851,1057.118,150.283,2456.057,0.0,2265.801,81.264,3468.777,13.941,73.491,78.287,7.8,50.41,0.01324074,-0.006667166,-0.003328037,0.026071066,0.329714489,0.20322837,0.043392004,0.052003662,1.0,0.429912127,0.968787448,0.768614764,0.080182448,0.031392597,0,0,
1020710,DXP ENTERPRISES INC,10-K,2011-03-16,2010-12-31,5084.0,TX,TX,1231.0,1020710_2010,64223,5080.0,0.0,0.0,0.0,0,185.309,55.019,320.624,124.104,0.77,458.239,14.08,10.93,141.216,103.621,9.568,19.381,75.887,0.0,0.0,92.883,196.504,19.381,32.86,0.016,51.348,100.183,656.202,0.125,0.0,12.751,5.208,24.0,0.022114746,0.119959226,0.07736273,0.011177396,0.951073532,0.043161439,0.043092194,0.192359417,1.0,0.367258523,1.032945352,0.160150207,0.116460402,0.088959363,0,0,
1021270,FAMOUS DAVES OF AMERICA INC,10-K,2010-03-19,2010-01-03,5812.0,MN,MN,1231.0,1021270_2010,63930,5812.0,0.0,0.0,0.0,0,11.247,3.935,76.129,32.904,2.748,116.213,8.245,0.538,27.3,23.497,5.547,7.218,2.444,0.054,0.094,13.854,43.225,7.218,107.286,0.0,22.584,3.481,148.268,0.352,0.681,3.796,1.14,11.15,-0.009591032,0.012912601,-0.008594561,0.003404609,0.155407269,0.089389195,-0.118813945,0.019476966,1.0,0.357917694,1.046356258,0.296654363,0.159650068,0.008082486,0,0,
1023362,POWERWAVE TECHNOLOGIES INC,10-K,2010-02-19,2010-01-03,3663.0,DE,DE,101.0,1023362_2010,64103,3663.0,0.0,0.0,0.0,0,345.475,112.906,425.584,61.279,62.531,401.296,168.469,55.371,0.0,150.0,17.903,3.713,80.019,0.0,0.93,213.716,364.305,3.713,238.131,0.0,-821.441,186.96,591.461,0.837,0.0,7.73,14.165,2.54,0.029981507,0.145946463,0.107944707,0.020806047,0.673843472,-0.142476285,-0.494623308,0.02202621,1.0,0.143204925,1.065925828,-1.9301501,0.060171435,-0.122933008,0,0,
103379,V F CORP,10-K,2010-03-03,2010-01-02,2320.0,PA,PA,101.0,103379_2010,11060,2300.0,0.0,0.0,0.0,0,2826.06,510.998,6457.556,3861.219,792.239,3948.991,107.938,39.313,0.0,935.882,156.21,571.362,1070.694,23.292,0.0,1109.475,2596.237,571.362,1663.299,0.0,1671.914,773.083,7702.589,137.732,10.499,176.7,77.738,86.18,-0.017279109,-0.005283483,-0.000472919,0.017334956,0.783951235,0.056229463,0.072678801,0.016900135,1.0,0.41509125,0.972742563,0.258908169,0.127881198,0.022314608,0,0,
1037461,BJS WHOLESALE CLUB INC,10-K,2010-03-26,2010-01-30,5331.0,DE,DE,201.0,1037461_2010,65105,5399.0,0.0,0.0,0.0,0,1292.212,655.084,2321.675,1144.309,101.35,9570.287,54.424,0.54,0.0,0.0,126.727,124.241,981.576,0.0,0.0,987.013,1177.366,95.011,1576.468,0.0,1536.893,140.195,10877.239,18.376,0.0,82.558,1.607,43.94,0.034317774,0.021999384,0.005373725,0.022856381,0.523448803,0.06695631,0.056786641,-0.020755181,1.0,0.478511967,0.937253316,0.661975944,0.077175315,-0.025684517,0,0,
1038074,SILICON LABORATORIES INC,10-K,2010-02-10,2010-01-02,3674.0,DE,DE,1231.0,1038074_2010,133288,3674.0,0.0,0.0,0.0,0,493.929,24.433,727.658,625.43,365.862,149.8,43.933,0.0,0.0,0.0,19.297,73.242,39.45,17.5,227.295,79.856,102.228,73.242,94.114,0.0,575.479,45.03,493.341,18.055,3.692,14.417,0.077,46.02,0.028229931,-0.168147346,-0.015094227,0.010796357,0.456053531,0.19808995,0.108761567,-0.00731596,1.0,0.309343671,1.058249079,0.78457252,0.120573126,0.168351359,0,0,
1039889,P F CHANGS CHINA BISTRO INC,10-K,2010-02-17,2010-01-03,5812.0,,,103.0,1039889_2010,116503,5812.0,0.0,0.0,0.0,0,123.607,20.611,634.689,359.494,71.452,1018.218,22.833,0.479,0.0,3.692,76.0,46.562,5.542,5.193,0.0,132.321,272.246,46.608,849.952,0.0,296.564,24.727,1242.799,25.846,0.0,17.122,1.7,48.46,0.016987362,0.022038499,0.010237489,0.000390103,0.163494247,-0.006951752,-0.091499594,0.00696381,1.0,0.32489667,0.900870278,0.467258768,0.10308986,-0.017553089,0,0,
